Handle	Title	Body (HTML)	Vendor	Type	Tags	Published	Option1 Name	Option1 Value	Option2 Name	Option2 Value	Option3 Name	Option3 Value	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	SEO Title	SEO Description	Google Shopping / Google Product Category	Google Shopping / Gender	Google Shopping / Age Group	Google Shopping / MPN	Google Shopping / AdWords Grouping	Google Shopping / AdWords Labels	Google Shopping / Condition	Google Shopping / Custom Product	Google Shopping / Custom Label 0	Google Shopping / Custom Label 1	Google Shopping / Custom Label 2	Google Shopping / Custom Label 3	Google Shopping / Custom Label 4	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item	Status
adidas-yeezy-700-analog	Adidas Yeezy 700 Analog	"<p data-mce-fragment='1'>The new version of the now very popular<strong data-mce-fragment='1'><span data-mce-fragment='1'> </span>Yeezy Boost 700</strong><span data-mce-fragment='1'> </span>comes from the long -standing partnership between Kanye West and Adidas. Close to the previous edition, already in very clear tones, the<span data-mce-fragment='1'> </span><span data-mce-fragment='1'><a class='' href='https://wethenew.com/en/products/adidas-yeezy-700-salt' data-mce-fragment='1' data-mce-href='https://wethenew.com/en/products/adidas-yeezy-700-salt'><strong data-mce-fragment='1'>Yeezy Boost 700 Salt</strong></a></span>, this new pair called Analog promises to be talked about a lot! It takes up all the codes that made the success of the famous silhouette, round curves and a design Inimitable minimalist dad-shoe.</p><p data-mce-fragment='1'>THE design model chunky<span data-mce-fragment='1'> </span><strong data-mce-fragment='1'>Yeezy Boost 700</strong><span data-mce-fragment='1'> </span>made its fame and allowed its democratization but it was its sole forms that allowed it to be acclaimed by all amateurs and aficionados of the world of sneakers. For this new color, the<span data-mce-fragment='1'> </span><strong data-mce-fragment='1'>Yeezy 700 Analog</strong><span data-mce-fragment='1'> </span>Adopt a base in Sweden and Mesh in light gray notes, coming slightly contrasting with the monochrome white color which covers most of the silhouette.</p><p data-mce-fragment='1'>The entire architecture of the<strong data-mce-fragment='1'><span data-mce-fragment='1'> </span>Yeezy Boost 700 Analog</strong><span data-mce-fragment='1'> </span>rests on a sole Boost thick and anthracite outsole. This new outing is likely to attract the lust of sneakers addict, fans of the three-strips brand as well as those of the famous American rapper/designer, founder of the brand<span data-mce-fragment='1'> </span><span data-mce-fragment='1'><a class='' href='https://wethenew.com/en/collections/adidas-yeezy' data-mce-fragment='1' data-mce-href='https://wethenew.com/en/collections/adidas-yeezy'><strong data-mce-fragment='1'>Yeezy</strong></a>.<br data-mce-fragment='1'><br data-mce-fragment='1'></span><strong data-mce-fragment='1'>SKU:</strong><span data-mce-fragment='1'> </span>EG7596<br data-mce-fragment='1'><strong data-mce-fragment='1'>Release date :</strong><span data-mce-fragment='1'> </span>April 2019<br data-mce-fragment='1'><strong data-mce-fragment='1'>Colorway:</strong><span data-mce-fragment='1'> </span><span data-mce-fragment='1'>Analog/analog/analog</span></p><div class='styles_productColors__qcEeB' data-mce-fragment='1'><strong data-mce-fragment='1'>Color<span data-mce-fragment='1'> </span>: </strong>Beige</div>"	ChicGait			FALSE	Size	Men - 7 US / 40 EU / 6 UK						0			continue	manual	210	275	TRUE	TRUE		https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049	1		FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 7.5 US / 40.5 EU / 6.5 UK						0			continue	manual	210	275	TRUE	TRUE		https://cdn.shopify.com/s/files/1/0805/4325/2813/files/flowerkickzYeezy_700_Analog-EG7596-3_181134af-4bbd-4575-a201-14cf0378b61f.webp?v=1713395053	2		FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 8 US / 41 EU / 7.5 UK						0			continue	manual	210	275	TRUE	TRUE		https://cdn.shopify.com/s/files/1/0805/4325/2813/files/flowerkickzYeezy_700_Analog-EG7596-2_90f7979a-7cf5-494f-89f2-00b4552f4474.webp?v=1713395047	3		FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 8.5 US / 42 EU / 7.5 UK						0			continue	manual	210	275	TRUE	TRUE		https://cdn.shopify.com/s/files/1/0805/4325/2813/files/flowerkickzYeezy_700_Analog-EG7596-1_772402dc-2f6e-48cf-b374-1ea4eae2f9f9.webp?v=1713395051	4		FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 9 US / 42.5 EU / 8 UK						0			continue	manual	210	275	TRUE	TRUE					FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 9.5 US / 43 EU / 8.5 UK						0			continue	manual	210	275	TRUE	TRUE					FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 10 US / 44 EU / 9 UK						0			continue	manual	210	275	TRUE	TRUE					FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 10.5 US / 44.5 EU / 9.5 UK						0			continue	manual	210	275	TRUE	TRUE					FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 11 US / 45 EU / 10 UK						0			continue	manual	210	275	TRUE	TRUE					FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
adidas-yeezy-700-analog							Size	Men - 12 US / 46 EU / 11 UK						0			continue	manual	210	275	TRUE	TRUE					FALSE																https://cdn.shopify.com/s/files/1/0805/4325/2813/files/yeezy-700-analog-573634_9adb5aec-8ad6-4e56-ad46-0cb44395e4f2.png?v=1713395049				draft
